"n","alpha_F"
250,46.6538349069919
250,47.8196334466366
250,58.4728367965539
250,39.0195099521006
250,59.7238285074259
250,51.2972679088477
250,50.758761869232
250,56.5242692495287
250,57.6653130791229
250,50.0611002390784
250,47.331597743767
250,47.5603866069853
250,42.4298458475874
250,37.7443830128432
250,47.0489983467462
250,45.6339363584096
250,49.3758858496176
250,60.4324196599131
250,45.4563538282484
250,40.4360395123203
250,45.4990766500323
250,36.4683872020993
250,44.8326566520878
250,45.7413679443821
250,40.0381693952916
250,56.31285770987
250,36.6690932765145
250,45.0797479153216
250,49.685256998472
250,37.70700725826
250,48.4671889747631
250,48.8696259938556
250,38.5779950831675
250,41.5948263472586
250,46.4041368762076
250,44.45481869461
250,47.1415935077259
250,59.1111341433957
250,52.3748815523917
250,47.5926102099028
250,46.7798759447533
250,41.3754427368669
250,43.9551467750124
250,40.865195046983
250,43.6175317270057
250,53.3108679577358
250,45.1863214732992
250,48.5766104212563
250,50.909471976725
250,44.0997616206044
250,52.3504044092114
250,50.4087331489201
250,49.8135128603951
250,58.6465451629059
250,41.247156300057
250,48.5705354675582
250,41.5840011739157
250,52.5548666505484
250,47.0555410982546
250,42.8174496091772
250,46.4381223712024
250,46.1773949100186
250,43.3487055018789
250,58.056809605438
250,45.5730384658132
250,39.2944040783422
250,44.8360038125096
250,46.5556776564467
250,65.6073044142047
250,42.1780756902619
250,43.3085732802568
250,46.4252269230968
250,47.0594726303253
250,49.9180569902296
250,50.6317954613299
250,55.4400461430878
250,41.8457793817383
250,53.0552367476017
250,56.441511444756
250,49.4706971933237
250,53.5517085464921
250,44.3555780791691
250,41.1389124836705
250,44.9593027669172
250,50.3769337739729
250,44.4864813100649
250,60.8367791848243
250,47.4323868754093
250,44.8791824561207
250,58.7496547289606
250,46.412011574195
250,47.6672509063174
250,42.8700412436057
250,48.1377610949448
250,55.102657603083
250,41.3952456832926
250,48.0578141493615
250,47.1930541089248
250,48.5879199543975
250,54.1175600681127
250,46.6309061750767
250,48.387680289096
250,52.3990966775513
250,61.8530074075678
250,52.1874826521171
250,42.2651513495765
250,57.6898260783878
250,49.7341037906478
250,54.1855200870878
250,59.1370849866926
250,45.6982471866325
250,41.2770540430094
250,40.7011466469049
250,51.8571144000597
250,43.5923424524937
250,41.675114629406
250,46.0000834244348
250,41.971545053627
250,45.9045477067603
250,44.7125450169013
250,45.1700005249693
250,46.6212600071298
250,53.7859515503474
250,51.9478454618045
250,52.86092940596
250,47.3789501607749
250,44.8995605331638
250,46.7158107381525
250,54.0763020684227
250,43.209432585159
250,39.6137950842103
250,50.3920860498548
250,46.7330381583894
250,54.2721983572679
250,41.2532172588241
250,54.6674725480607
250,52.6491055850698
250,43.350787121636
250,47.1875380163555
250,42.4454006535425
250,41.6918650499384
250,44.8452240855494
250,38.184398093152
250,54.0637746054787
250,49.968803318714
250,41.9499000725083
250,51.9136004185612
250,49.004941120411
250,37.3646998116013
250,48.6902587121851
250,46.0560012592557
250,45.7816524603456
250,65.8064297150763
250,54.9362499953187
250,41.3880280468379
250,45.1110690126123
250,61.2593042852978
250,38.0226549530348
250,44.1847408314362
250,45.8795438401397
250,43.0471632411335
250,42.4342691519892
250,53.3134873224178
250,51.8401659691583
250,39.3259581127523
250,44.1556272337788
250,43.6268189659783
250,49.8022159014095
250,48.3481478175425
250,44.2069698526615
250,44.1438429565554
250,43.600922208624
250,44.7358531521419
250,51.6234374240973
250,42.5087358528091
250,52.6026753748993
250,42.8365035863433
250,49.2224668081234
250,43.5038435325587
250,50.7466271680176
250,48.1181636545861
250,46.2094672044966
250,50.3530842840591
250,39.422444227641
250,47.1259103726589
250,48.9190362022077
250,47.1116295464656
250,54.3178473034613
250,48.0044958521758
250,45.4130432808861
250,44.0678666506869
250,48.2727954729843
250,43.1119020208594
250,50.6044225696826
250,50.2035803547847
250,44.1792370968024
250,50.7960100656342
250,44.8774991642958
250,48.9038342151067
250,49.7656234787184
250,45.5051610220432
250,48.9452757709005
250,44.3429200616052
250,48.6830560267196
250,40.6701313871175
250,49.0233737162276
250,52.61659864221
250,55.3097732374743
250,43.140242974213
250,42.9177098405834
250,49.7626980828443
250,45.4114291859663
250,45.2340569557329
250,51.3859385431752
250,44.257908744174
250,57.5159981865779
250,48.019311393287
250,62.4133259633482
250,54.6776006673295
250,51.77947439018
250,44.568208530815
250,52.234178950177
250,46.2952944411562
250,45.1105184295071
250,51.6309565609949
250,45.6422742625022
250,48.4513634247381
250,74.6858546558824
250,42.1318379557211
250,41.3750935470747
250,45.3761980327141
250,46.5292936270614
250,47.391099665985
250,52.5532390267776
250,54.5986784396428
250,50.0752757156139
250,45.3229748424256
250,39.9244607000504
250,36.8904674794521
250,53.303271072677
250,43.1156551196362
250,62.2262918787588
250,44.9825773801788
250,39.6796708225543
250,46.0707702771403
250,45.4099475582055
250,45.7184791296575
250,50.4366065528967
250,43.04476978772
250,38.5976998935973
250,55.506848186728
250,46.5303625590419
250,49.8553583288228
250,50.7286290630567
250,48.817380046597
250,49.3613323851715
250,38.5783991604137
250,42.7942112012735
250,51.708411278507
250,50.7329602764882
250,45.5039601387191
250,54.1207336893756
250,55.7999302687999
250,39.9668425731587
250,52.3356576097674
250,45.0962053601634
250,48.0017590476304
250,45.3756598423297
250,46.4211536414676
250,46.3306733181265
250,42.2131891053231
250,55.4332797665917
250,46.6317141415437
250,44.8840647362332
250,58.011353884065
250,40.8563845491744
250,44.6578086388024
250,38.5368383872339
250,47.4089830812581
250,44.7472971846309
250,36.2299617111925
250,49.4735332637215
250,53.2105601209215
250,45.9299292060113
250,41.9616928728731
250,56.7235873737519
250,47.6092404002765
250,39.1678525727294
250,48.78234474765
250,45.5661452174523
250,40.5785800232019
250,46.9903774804464
250,50.4160753983132
250,57.3523711846663
250,49.0640263293484
250,43.3357679327612
250,47.9886273538192
250,51.1956307751915
250,39.2760445435255
250,36.795163591694
250,44.7581755145557
250,49.4374654725047
250,41.2854387908051
250,44.1749152289003
250,48.2724196242505
250,49.754441116218
250,40.3070635414255
250,40.6877661970728
250,49.528071839813
250,42.3436819642789
250,40.090010423239
250,50.7729598627802
250,46.2215527318099
250,44.7148878226256
250,54.3082697965155
250,51.2270096213965
250,44.5538636947135
250,42.5241588760925
250,50.3767130207042
250,51.455209575715
250,55.3660991177893
250,41.8656480613729
250,41.5205539495097
250,49.5271762597944
250,44.5242959278734
250,52.2581520059259
250,43.2369154839937
250,51.1928576642514
250,42.1140878635823
250,45.3229425192487
250,40.5929774960618
250,44.6924849105129
250,41.3515930874042
250,39.835415258673
250,47.0544080066346
250,52.8814284801281
250,38.2573874099626
250,41.4021495944036
250,46.6403824891019
250,47.9953653435966
250,43.2436454307894
250,61.4948928485099
250,42.9833193339524
250,45.4552621750734
250,43.0295917576343
250,48.6343741916545
250,36.0502677453826
250,42.9545169610941
250,42.0732905084698
250,40.2728404627992
250,42.4869553574041
250,46.435825769755
250,55.6025869402044
250,60.7456251850149
250,42.8605808638265
250,39.4785718918442
250,50.9827498971861
250,48.3468485418483
250,46.1406393502817
250,44.4846112264137
250,39.9101674787985
250,58.2333698130255
250,55.0676208837454
250,47.0713319802629
250,68.0378398538418
250,49.2675906521435
250,43.9383205334696
250,50.9045181284096
250,49.9627868496361
250,46.4017557072973
250,46.7801142138939
250,47.016281768584
250,46.0445727936368
250,40.824551947548
250,45.0926360527723
250,51.3474742703278
250,43.4571609915796
250,44.6583507586859
250,44.092924140611
250,46.4048663426175
250,56.4186363032276
250,45.653303023272
250,42.4772092614857
250,43.2691914911536
250,55.4385162052717
250,47.3622281011435
250,45.5759305657007
250,39.4803068895746
250,51.7285416375944
250,48.1720424477053
250,54.1978247774731
250,48.2585694416513
250,44.0444074268202
250,39.6111080356815
250,43.1075501253978
250,47.5981781497651
250,47.7898620561601
250,42.4169962304152
250,46.882620141379
250,45.3990899306986
250,51.6823501790869
